"name";"energy";"protein";"fat";"carbohydrates"
"440";"Ser podpuszczkowy Mysliwski pelnotlusty";"349";"25.5";"27.4";"0.1"
"441";"Ser podpuszczkowy Parmezan";"408";"35.1";"29.7";"0.1"
"442";"Ser podpuszczkowy Salami pelnotlusty";"354";"25.2";"28.1";"0.1"
"443";"Ser podpuszczkowy Salami tlusty";"329";"29.5";"22.1";"3.1"
"444";"Ser podpuszczkowy Tylzycki pelnotlusty";"356";"26.1";"27.9";"0.1"
"445";"Ser podpuszczkowy Tylzycki tlusty";"327";"27.8";"23";"2.1"
"446";"Ser topiony tlusty";"222";"18";"16";"1.6"
"447";"Ser twarogowy chudy";"98";"19.8";"0.5";"3.5"
"448";"Ser twarogowy poltlusty";"132";"18.7";"4.7";"3.7"
"449";"Ser twarogowy pelnotlusty";"176";"17.7";"10.1";"3.5"
"450";"Serca wieprzowe";"111";"16.9";"4.8";"0"
"451";"Serdelki drobiowe";"239";"13.9";"19.5";"1.9"
"452";"Serek Fromage naturalny";"384";"10.2";"37.1";"2.4"
"453";"Serek homogenizowany truskawkowy";"167";"15.3";"3.9";"17.7"
"454";"Serek homogenizowany waniliowy";"158";"16.8";"4.2";"13.3"
"455";"Serek twarogowy ziarnisty";"101";"12.3";"4.3";"3.3"
"456";"Sernik";"273";"10";"9";"38"
"457";"Sernik z rodzynkami, ciasto";"342";"14.6";"13.9";"39.6"
"458";"Serwatka plynna";"25";"0.8";"0.1";"5.1"
"459";"Sezamki";"511";"13.4";"25.8";"56.2"
"460";"Skrobia kukurydziana";"367";"0.3";"0.1";"91.3"
"461";"Skrzydlo bez skory indycze";"169";"16.5";"11.4";"0"
"462";"slonecznik ziarno";"580";"22.5";"49";"12.3"
"463";"slonina";"811";"2.4";"89";"0"
"464";"Smalec";"896";"0";"99.5";"0"
"465";"Snickers, baton";"509";"9.7";"28.9";"52.6"
"466";"Soczewica, suche ziarno";"347";"25";"1";"59.5"
"467";"Soja, suche ziarno";"442";"34.9";"18.1";"34.8"
"468";"Sola swieza";"83";"17.5";"1.4";"0"
"469";"Sok ananasowy";"48";"0.3";"0.1";"11.4"
"470";"Sok grejfrutowy";"35";"0.6";"0.2";"7.8"
"471";"Sok jablkowy";"45";"0.4";"0.4";"10"
"472";"Sok marchwiowy";"48";"0.4";"0.1";"11.3"
"473";"Sok pomaranczowy";"45";"0.5";"0.1";"10.5"
"474";"Sok pomidorowy";"19";"0.8";"0.6";"2.6"
"475";"Sok z czarnej porzeczki";"45";"0.3";"0.3";"10.2"
"476";"Sprite, napoj";"42";"0";"0";"10.5"
"477";"Syrop truskawkowy";"262";"0.2";"0.1";"62"
"478";"Szampan polslodki";"97";"0.2";"0";"7"
"479";"Szampan polwytrawny";"83";"0.1";"0";"3.4"
"480";"Szampan slodki";"117";"0.2";"0";"12"
"481";"Szczaw";"39";"1.1";"0.8";"3.9"
"482";"Szczupak swiezy";"81";"18.4";"0.8";"0"
"483";"Szczypiorek";"39";"4.1";"0.8";"3.9"
"484";"Szparagi";"24";"1.9";"0.2";"3.7"
"485";"Szpinak";"26";"2.6";"0.4";"3"
"486";"Szponder wolowy";"218";"19.3";"15.7";"0"
"487";"Szprot wedzony";"243";"19.3";"18.3";"0"
"488";"Szynka surowa wieprzowa";"264";"18";"21.3";"0"
"489";"Szynka wedzona gotowana";"389";"23";"33";"0"
"490";"smietana 12% tluszczu";"134";"2.7";"12";"3.9"
"491";"smietana 18% tluszczu";"186";"2.5";"18";"3.6"
"492";"smietanka do kawy 9% tluszczu";"54";"2.8";"9";"4"
"493";"smietanka kremowa 30% tluszczu";"291";"2.2";"30";"3.1"
"494";"sledz solony";"218";"19.8";"15.4";"0"
"495";"sledz swiezy";"162";"16.3";"10.7";"0"
"496";"sledz w oleju, konserwa";"343";"19.7";"29.4";"0"
"497";"sledz w pomidorach, konserwa";"177";"13.7";"12.8";"1.8"
"498";"sliwki";"70";"1";"0.3";"15.9"
"499";"sliwki suszone";"311";"4.9";"0.9";"70.8"
"500";"Teatralny, wafel";"546";"8";"31";"58"
"501";"Tic Tac, drazetki";"390";"0";"0";"97.5"
"502";"Tluszcz roslinny Planta";"900";"0";"100";"0"
"503";"Toffifee, czekoladka";"535";"6";"31";"58"
"504";"Tran";"900";"0";"100";"0"
"505";"Truskawki";"36";"0.7";"0.5";"7.2"
"506";"Tunczyk swiezy";"97";"22";"1";"0"
"507";"Tunczyk w oleju, konserwa";"189";"27.1";"9";"0"
"508";"Twix, baton";"487";"5.3";"23.2";"64.2"
"509";"Udo bez skory z kurczaka";"125";"17.8";"6";"0"
"510";"Udo ze skora z kurczaka";"161";"17.8";"10";"0"
"511";"Udziec barani";"234";"18";"18";"0"
"512";"Udziec cielecy";"108";"19.9";"3.1";"0"
"513";"Wafel Familijne";"533";"7.1";"29.6";"59.5"
"514";"Wafel Grzeski";"550";"8.5";"34.5";"51.2"
"515";"Wafel Kinder Bueno";"532";"5.5";"35.5";"47.6"
"516";"Wafel Prince Polo";"534";"4.8";"31.5";"57.5"
"517";"Wafel Princessa";"562";"4.1";"34.6";"58.4"
"518";"Wafel Teatralny";"546";"8";"31";"58"
"519";"Wasa, pieczywo chrupkie pszenne";"360";"12";"2.2";"73"
"520";"watroba drobiowa";"136";"19.1";"6.3";"0.6"
"521";"watroba wieprzowa";"129";"19.7";"4.8";"1.7"
"522";"watroba wolowa";"124";"20";"3.1";"4"
"523";"Wermut, wino";"104";"0";"0";"7.9"
"524";"wegorz swiezy";"281";"12.7";"25.6";"0"
"525";"wegorz wedzony";"329";"17.9";"28.6";"0"
"526";"Whisky";"225";"0";"0";"0"
"527";"Wieprzowina, boczek";"517";"10.1";"53";"0"
"528";"Wieprzowina, golonka ze skora";"297";"18.6";"24.7";"0"
"529";"Wieprzowina, karkowka";"270";"16.1";"22.8";"0"
"530";"Wieprzowina, lopatka";"259";"16";"21.7";"0"
"531";"Wieprzowina, mieso bez kosci, srednio";"264";"18";"21.3";"0"
"532";"Wieprzowina, mieso z koscia, srednio";"329";"15.4";"29.7";"0"
"533";"Wieprzowina, schab surowy";"174";"21";"10";"0"
"534";"Wieprzowina, szynka surowa";"264";"18";"21.3";"0"
"535";"Wieprzowina, zeberka";"324";"15.2";"29.3";"0"
"536";"Wino biale polslodkie";"92";"0";"0";"4.4"
"537";"Wino biale polwytrawne";"78";"0";"0";"3.7"
"538";"Wino biale wytrawne";"73";"0";"0";"2.4"
"539";"Wino czerwone polslodkie";"96";"0";"0";"5.5"
"540";"Wino czerwone slodkie";"106";"0.1";"0";"8.2"
"541";"Wino czerwone wytrawne";"75";"0";"0";"3"
"542";"Winogrona";"74";"0.5";"0.2";"17.6"
"543";"Wiorki kokosowe";"606";"5.6";"62";"6.4"
"544";"Wisnie";"67";"1.2";"0.4";"14.6"
"545";"Wolowina, mieso bez kosci, srednio";"116";"20.9";"3.6";"0"
"546";"Wolowina, mieso z koscia, srednio";"149";"18.6";"8.3";"0"
"547";"Wolowina, poledwica";"112";"20.1";"3.5";"0"
"548";"Wolowina, pieczen";"116";"20.9";"3.6";"0"
"549";"Wolowina, rostbef";"152";"21.5";"7.3";"0"
"550";"Wolowina, rozbratel";"158";"16.7";"10.1";"0"
"551";"Wolowina, szponder";"218";"19.3";"15.7";"0"
"552";"wodka, srednio";"225";"0";"0";"0"
"553";"Zarodki pszenne";"377";"27.5";"9.4";"45.5"
"554";"Ziemniaki";"87";"1.7";"0.1";"19.9"
"555";"Zeberka wieprzowe";"324";"15.2";"29.3";"0"
"556";"Zoltko jaja kurzego";"355";"16.3";"31.9";"0.7"
"557";"Zurawiny";"51";"0.4";"0.1";"12.2"
"558";"";"0";"0";"0";"0"
