"Nazwa";"Energia";"Bialko";"Tluszcz";"Weglowodany"
"133";"Grze?ki, wafel";"550";"8,5";"34,5";"51,5"
"134";"Halibut ?wie?y";"121";"18,6";"5,2";"0"
"135";"Hamburger";"268";"11,4";"9,5";"34,3"
"136";"Hamburger Big Mac McDonald";"273";"11,4";"15,1";"22,8"
"137";"Hamburger McChicken McDonald";"295";"9,7";"15,9";"28,3"
"138";"Herbata";"0";"0,1";"0";"0"
"139";"Herbatniki";"439";"8,2";"11";"76,8"
"140";"Homary";"85";"18,8";"0,9";"0,5"
"141";"Indyk, piersi bez sk?ry";"109";"21,3";"2,6";"0"
"142";"Indyk, skrzyd?o bez sk?ry";"169";"16,5";"11,4";"0"
"143";"Indyk, udo bez sk?ry";"118";"19,5";"4,4";"0"
"144";"Irysy, cukierki";"418";"4,3";"10,7";"76,1"
"145";"Jab?ko";"57";"0,6";"0,7";"12,1"
"146";"Jab?ko suszone";"332";"1,5";"1,1";"78,9"
"147";"Jagodzianka, ciastko";"322";"7,1";"5,5";"61,1"
"148";"Jaja sadzone";"181";"10,1";"15,2";"0,9"
"149";"Jajecznica";"131";"10";"9,7";"0,8"
"150";"Jajo kurze, bia?ko";"46";"10,8";"0";"0,8"
"151";"Jajo kurze, ca?e";"150";"12,5";"10,7";"1"
"152";"Jajo kurze, ???tko";"355";"16,3";"31,9";"0,7"
"153";"Jagni?cina";"126";"20,4";"4,9";"0"
"154";"Jagody";"61";"1,1";"0,9";"12,2"
"155";"Ja?owc?wka, w?dka";"225";"0";"0";"0"
"156";"Jarmu?";"29";"3,3";"0,7";"6,1"
"157";"Je?yki, ciastka";"457";"5";"21,3";"61,2"
"158";"Je?yny";"71";"1,2";"0,4";"15,7"
"159";"Jogurt do picia Danonki";"87";"2,8";"1,6";"15,4"
"160";"Jogurt naturalny 0% t?uszczu";"42";"4,2";"0";"6,2"
"161";"Jogurt naturalny 2% t?uszczu";"60";"4,3";"2";"6,2"
"162";"Jogurt owocowy 1,5% t?uszczu";"84";"3,9";"1,5";"13,7"
"163";"Jogurt owocowy 2,7% t?uszczu";"99";"3,3";"2,7";"15,3"
"164";"Kabaczek";"31";"1";"0,1";"6,5"
"165";"Kabanosy";"319";"28";"23";"0"
"166";"Kaczka tuszka";"311";"13,5";"28,6";"0"
"167";"Kaczka dzika tuszka";"121";"22,7";"3,1";"0,5"
"168";"Kakao 16% t?uszczu, proszek";"425";"18,2";"15,8";"52,6"
"169";"Kakao Nesquik, proszek";"380";"3,5";"3";"84,3"
"170";"Kalafior";"31";"2,4";"0,2";"5"
"171";"Kalarepa";"33";"1,7";"0,1";"6,2"
"172";"Kapusta bia?a";"38";"1,7";"0,2";"7,4"
"173";"Kapusta czerwona";"45";"1,9";"0,2";"9"
"174";"Kapusta kiszona";"20";"1,1";"0,2";"3,4"
"175";"Kapusta w?oska";"50";"3,3";"0,6";"7,8"
"176";"Karczochy";"57";"3,3";"0,2";"10,5"
"177";"Kark?wka wieprzowa";"270";"16,1";"22,8";"0"
"178";"Karp ?wie?y";"122";"17,8";"5,6";"0"
"179";"Kaszanka";"274";"9";"19,5";"14,5"
"180";"Kasza gryczana";"359";"12";"3";"70"
"181";"Kasza jaglana";"355";"10,5";"2,9";"71,6"
"182";"Kasza j?czmienna";"358";"8";"2";"74"
"183";"Kasza j?czmienna p?czak";"381";"7,9";"1,7";"83,6"
"184";"Kasza kuskus";"358";"13";"2";"72"
"185";"Kasza manna";"353";"8,7";"1,3";"76,7"
"186";"Kawa bez cukru";"2";"0,2";"0";"0,3"
"187";"Kawior";"250";"24";"18";"4"
"188";"Kefir 2% t?uszczu";"44";"2,6";"2";"3,8"
"189";"Keks bakaliowy";"401";"6,4";"17,8";"53,8"
"190";"Ketchup";"113";"1,1";"0,3";"26,5"
"191";"Kinder Niespodzianka, czekoladka";"560";"9,5";"35,3";"51,5"
"192";"KFC, kurczak Hot Wings";"318";"17,4";"20,8";"15,3"
"193";"KFC, Twister";"266";"10,7";"15,1";"21,9"
"194";"Kie?basa krakowska parzona";"168";"20,1";"9,7";"0"
"195";"Kie?basa krakowska sucha";"326";"25,6";"24,8";"0"
"196";"Kie?basa mielona";"206";"17";"14,2";"2,6"
"197";"Kie?basa mortadela";"207";"12";"17,7";""
"198";"Kie?basa my?liwska";"395";"23";"33,5";"0"
"199";"Kie?basa par?wkowa";"334";"11,3";"32";"0,1"
"200";"Kie?basa podwawelska";"249";"17,3";"19,6";"0,9"
"201";"Kie?basa szynkowa";"162";"18";"10";"0"
"202";"Kie?basa szynkowa z indyka";"89";"17,2";"2";"0,2"
"203";"Kie?basa szynkowa z kurczaka";"111";"16,2";"5";"0"
"204";"Kie?basa toru?ska";"265";"20,9";"20,1";"0"
"205";"Kie?basa zwyczajna";"199";"18,6";"13,8";"0,1"
"206";"Kie?basa ?ywiecka";"318";"20,3";"26,3";"0"
"207";"Kie?ki fasoli, konserwa, ods?czone";"15";"1,4";"0,1";"2,1"
"208";"Kinder Bueno, wafel";"532";"5,5";"35,5";"47,6"
"209";"Kisiel";"103";"0,3";"0,1";"25,3"
"210";"Kiszka pasztetowa";"387";"12,5";"35,7";"4,3"
"211";"Kiwi";"64";"0,9";"0,5";"13,9"
"212";"Kiszone og?rki";"12";"0,7";"0,2";"1,9"
"213";"Kluski ?l?skie";"155";"2";"0,1";"36,6"
"214";"Knoppers, baton";"528";"8";"32";"52"
"215";"Kompot owocowy";"69";"0,2";"0,1";"16,9"
"216";"Koncentrat pomidorowy 30%";"107";"5,6";"2";"16,7"
"217";"Konina, mi?so bez ko?ci";"108";"21,5";"2,5";"0"
"218";"Kopytka ziemniaczane mro?one";"169";"2,2";"0,8";"38,2"
"219";"Kotlet schabowy panierowany";"357";"19";"24,1";"15,9"
"220";"Krem czekoladowy Nutella";"533";"6,5";"31";"57"
"221";"Krewetki";"86";"18,1";"0,8";"1,5"
"222";"Kr?lik tuszka";"156";"21";"8";"0"
"223";"Kubu? Multiwitamina, nap?j";"48";"0,3";"0,1";"11,5"
"224";"Kukurydza, konserwa";"94";"2,9";"1,2";"17,8"
"225";"Kukurydza ziarno";"145";"3,7";"1,5";"29,1"
"226";"Kura tuszka";"203";"18,5";"14,3";"0"
"227";"Kurczak Hot Wings KFC";"318";"17,4";"20,8";"15,3"
"228";"Kurczak, piersi bez sk?ry";"100";"21,5";"1,3";"0"
"229";"Kurczak, piersi ze sk?r?";"155";"19,3";"8,6";"0"
"230";"Kurczak tuszka";"158";"18,6";"9,3";"0"
"231";"Kurczak, udo bez sk?ry";"125";"17,8";"6";"0"
"232";"Kurczak, udo ze sk?r?";"161";"17,8";"10";"0"
"233";"Kurka ?wie?a, grzyb";"23";"1";"0,4";"3,8"
"234";"Kuropatwa tuszka";"112";"24,3";"1,4";"0,5"
"235";"Landrynki Brando";"390";"0";"0";"96,6"
"236";"Likier Advocat";"280";"4,4";"6";"28,4"
"237";"Likier Curacao";"319";"0";"0";"27,6"
"238";"Lody bakaliowe";"133";"2,2";"7,2";"14,6"
"239";"Lody czekoladowe";"128";"2,1";"6,1";"16,1"
"240";"Lody orzechowe";"135";"2,4";"8";"13,4"
"241";"Lody owocowe";"114";"1,5";"5,3";"15"
"242";"Lody ?mietankowe";"135";"1,7";"7,6";"15,2"
"243";"Lody waniliowe";"120";"1,8";"6,5";"13,6"
"244";"?opatka barania";"287";"15,6";"25";"0"
"245";"?opatka ciel?ca";"105";"19,9";"2,8";"0"
"246";"?opatka wieprzowa";"259";"16";"21,7";"0"
"247";"?oso???wie?y";"202";"19,9";"13,6";"0"
"248";"?oso? w?dzony";"176";"20,5";"9,5";"1,5"
"249";"Majonez";"732";"1,1";"79";"4,2"
"250";"Maggi, przyprawa do zup";"17";"2,7";"0";"1,5"
"251";"Mak";"542";"19,5";"40,8";"24,3"
"252";"Makowiec";"348";"7";"16";"44"
"253";"Makaron bezjajeczny";"368";"10";"1,6";"78,5"
"254";"Makaron bezjajeczny z pszenicy durum";"375";"12,8";"1,7";"77,2"
"255";"Makaron czterojajeczny";"383";"12";"3,4";"76,2"
"256";"Makaron dwujajeczny";"364";"12";"3,1";"72"
"257";"Makrela w?dzona";"222";"22,7";"15,5";"0"
"258";"Maliny";"63";"1,7";"0,9";"12"
"259";"Mandarynka";"34";"0,5";"0,2";"7,5"
"260";"Mango";"73";"0,5";"0,3";"17"
"261";"Marakuja?";"34";"2,8";"0,2";"6,2"
"262";"Marchew";"41";"1";"0,2";"8,7"
"263";"Margaryna Benecol";"540";"0";"60";"0"
"264";"Margaryna Delma";"496";"0";"55";"0,2"
"265";"Margaryna Flora";"328";"0,1";"35";"3,2"
"266";"Margaryna mleczna";"738";"0";"82";"0"
"267";"Margaryna Pani Domu";"360";"0";"40";"0"
"268";"Margaryna Rama Classic";"631";"0";"70";"0,2"
"269";"Margaryna Vita";"360";"0";"40";"0"
"270";"Markizy, ciastka";"487";"5,6";"23";"64,3"
"271";"Mars, baton";"454";"3,6";"18,2";"68,9"
"272";"Mas?o ekstra";"748";"0,7";"82,5";"0,7"
"273";"Mas?o ro?linne";"747";"0";"83";"0"
"274";"Mas?o ?mietankowe";"670";"1,1";"73,5";"1,1"
"275";"Ma?lanka 0,5% t?uszczu";"34";"3,3";"0,5";"4"
"276";"M?czka ziemniaczana";"339";"0,6";"0,1";"83,9"
"277";"M?ka pszenna 500";"347";"9,2";"1,2";"74,9"
"278";"M?ka pszenna 550";"348";"9,4";"1,6";"74,1"
"279";"Melon";"16";"0,4";"0,1";"3,4"
"280";"Metka";"419";"15";"31";"20"
"281";"Mielonka";"206";"17";"14";"2,5"
"282";"Migda?y";"640";"18,5";"54";"19,5"
"283";"Milky Way, baton";"447";"3,6";"16,2";"71,8"
"284";"Mintaj ?wie?y";"72";"16,6";"0,6";"0"
"285";"Mi?d pszczeli";"319";"0,3";"0";"79,5"
"286";"Mirinda, nap?j";"52";"0";"0";"12,9"
"287";"Mleko 0% t?uszczu";"33";"3,4";"0";"4,8"
"288";"Mleko 0,5% t?uszczu";"36";"3,2";"0,5";"4,7"
"289";"Mleko 2% t?uszczu";"47";"3";"2";"4,3"
"290";"Mleko 3,2% t?uszczu";"58";"3";"3,2";"4,3"
"291";"Mleko jogurtowe Actimel";"88";"2,7";"1,5";"16"
"292";"Mleko kozie";"72";"3,3";"4,5";"4,6"
"293";"Mleko owcze";"107";"6,1";"6,9";"5,1"
"294";"Mleko w proszku pe?ne";"479";"27";"24";"38,7"
"295";"Mleko zag?szczone nies?odzone";"132";"6,6";"7,5";"9,4"
